date,regularballs,powerball
"March 3, 2018","13, 17, 25, 36, 40",5
"March 7, 2018","6, 13, 19, 36, 51",18
"March 10, 2018","43, 44, 54, 61, 69",22
"March 14, 2018","6, 12, 24, 41, 68",9
"March 17, 2018","22, 57, 59, 60, 66",7
"March 21, 2018","3, 4, 18, 29, 61",25
"March 24, 2018","10, 33, 45, 53, 56",24
"March 28, 2018","6, 8, 26, 52, 53",21
"March 31, 2018","8, 24, 52, 55, 61",21
"April 4, 2018","8, 24, 42, 54, 64",24
"April 7, 2018","2, 17, 20, 38, 39",20
"April 11, 2018","16, 18, 27, 55, 67",18
"April 14, 2018","17, 19, 26, 61, 62",15
"April 18, 2018","9, 10, 12, 17, 23",9
"April 21, 2018","40, 50, 54, 62, 69",19
"April 25, 2018","17, 18, 39, 56, 64",12
"April 28, 2018","20, 22, 28, 45, 50",8
"May 2, 2018","5, 14, 31, 40, 50",6
"May 5, 2018","14, 29, 36, 57, 61",17
"May 9, 2018","11, 16, 38, 50, 69",19
"May 12, 2018","22, 42, 45, 55, 56",14
"May 16, 2018","17, 19, 21, 22, 51",19
"May 19, 2018","3, 6, 9, 17, 56",25
"May 23, 2018","20, 54, 56, 61, 64",7
"May 26, 2018","1, 21, 31, 45, 49",21
"May 30, 2018","17, 23, 26, 46, 68",20
"June 2, 2018","23, 25, 37, 44, 64",7
"June 6, 2018","23, 28, 41, 53, 56",14
"June 9, 2018","6, 10, 15, 25, 36",14
"June 13, 2018","13, 20, 38, 45, 55",1
"June 16, 2018","9, 45, 57, 58, 65",9
"June 20, 2018","4, 14, 23, 27, 56",13
"June 23, 2018","16, 29, 43, 45, 56",25
"June 27, 2018","7, 28, 37, 62, 63",15
"June 30, 2018","3, 9, 20, 42, 61",24
"July 4, 2018","4, 7, 15, 41, 44",10
"July 7, 2018","1, 10, 43, 45, 64",22
"July 11, 2018","19, 21, 27, 46, 47",7
"July 14, 2018","22, 41, 42, 49, 67",11
"July 18, 2018","1, 10, 27, 28, 36",12
"July 21, 2018","9, 23, 56, 58, 68",1
"July 25, 2018","2, 18, 41, 44, 64",26
"July 28, 2018","22, 27, 46, 56, 65",13
"August 1, 2018","5, 22, 32, 38, 58",26
"August 4, 2018","3, 11, 38, 44, 58",2
"August 8, 2018","10, 21, 30, 43, 63",17
"August 11, 2018","5, 43, 56, 62, 68",24
"August 15, 2018","12, 15, 28, 47, 48",16
"August 18, 2018","24, 34, 52, 61, 67",16
"August 22, 2018","1, 7, 45, 47, 69",13
"August 25, 2018","20, 25, 54, 57, 63",8
"August 29, 2018","25, 41, 53, 57, 67",12
"September 1, 2018","11, 54, 55, 61, 66",9
"September 5, 2018","6, 15, 50, 59, 60",13
"September 8, 2018","3, 13, 20, 32, 33",21
"September 12, 2018","6, 28, 48, 63, 64",24
"September 15, 2018","2, 18, 19, 24, 34",3
"September 19, 2018","4, 39, 48, 50, 51",11
"September 22, 2018","24, 61, 63, 64, 69",18
"September 26, 2018","1, 2, 7, 30, 50",8
"September 29, 2018","9, 17, 34, 59, 64",22
"October 3, 2018","41, 53, 59, 63, 66",3
"October 6, 2018","1, 22, 27, 53, 67",15
"October 10, 2018","8, 23, 27, 42, 60",7
"October 13, 2018","11, 14, 32, 43, 65",15
"October 17, 2018","3, 57, 64, 68, 69",15
"October 20, 2018","16, 54, 57, 62, 69",23
"October 24, 2018","3, 21, 45, 53, 56",22
"October 27, 2018","8, 12, 13, 19, 27",4
"October 31, 2018","7, 25, 39, 40, 47",20
"November 3, 2018","15, 21, 24, 32, 65",11
"November 7, 2018","26, 28, 34, 42, 50",25
"November 10, 2018","5, 29, 34, 53, 57",24
"November 14, 2018","7, 42, 49, 62, 69",23
"November 17, 2018","6, 8, 20, 52, 68",5
"November 21, 2018","7, 14, 23, 38, 55",18
"November 24, 2018","11, 33, 51, 56, 58",18
